150,1350,147
150,1200,144
150,1050,122
150,900,136
150,750,31
150,600,76
150,450,100
150,300,136
150,150,141
300,150,142
300,300,135
300,450,111
300,600,103
300,750,19
300,900,136
300,1050,142
300,1200,145
300,1350,72
450,1350,109
450,1200,147
450,1050,145
450,900,138
450,750,27
450,600,74
450,450,97
450,300,76
450,150,138
600,150,70
600,300,130
600,450,105
600,600,129
600,750,54
600,900,78
600,1050,117
600,1200,118
600,1350,137
750,1350,138
750,1200,144
750,1050,141
750,900,138
750,750,84
750,600,102
750,450,119
750,300,77
750,150,69
900,150,139
900,300,85
900,450,83
900,600,134
900,750,132
900,900,109
900,1050,111
900,1200,127
900,1350,142
1050,1350,71
1050,1200,71
1050,1050,69
1050,900,68
1050,750,61
1050,600,57
1050,450,50
1050,300,42
1050,150,35
<
